trial,base_w,base_h,l_x,l_w,l_h,l_t,arm_z,t,ç≈ëÂóhÇÍ(mm),ç≈ëÂóhÇÍ(mm)_direction,à⁄ìÆéûä‘(s),à⁄ìÆéûä‘(s)_direction,non_domi,Lå^å`èÛ,Lå^å`èÛ_lb,Lå^å`èÛ_ub,ÉxÅ[ÉXÇ∆Lå^ÇÃä÷åW,ÉxÅ[ÉXÇ∆Lå^ÇÃä÷åW_lb,ÉxÅ[ÉXÇ∆Lå^ÇÃä÷åW_ub,ÉAÅ[ÉÄÇ∆Lå^ÇÃä÷åW,ÉAÅ[ÉÄÇ∆Lå^ÇÃä÷åW_lb,ÉAÅ[ÉÄÇ∆Lå^ÇÃä÷åW_ub,feasible,hypervolume,message,time
1,7,1,1,3,3,1,2,0.0001,0.000748332,minimize,0.0001,minimize,TRUE,1,0,,1,0,,1,0,,TRUE,0,additional initial (îOÇÃÇΩÇﬂ),51:34.1
2,6.583968818,1.210625945,0.006857262,2.425380695,3.119518815,1.371399029,1.983259708,9.54E-05,0.015105062,minimize,9.54E-05,minimize,FALSE,1,0,,1,0,,1,0,,TRUE,0,,51:45.7
3,9.918636312,1.074478937,1.526546833,3.01516519,5.461050665,1.127770286,1.80685115,8.38E-05,0.767419678,minimize,8.38E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,51:59.7
4,6.439304839,1.238731697,0.308599197,2.31930791,5.380647403,2.048035552,1.871388269,9.22E-05,0.001219041,minimize,9.22E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,52:11.4
5,6.574553248,1.196411843,0.014583722,2.254426693,5.316665482,1.894795944,1.797591094,9.03E-05,0.047162657,minimize,9.03E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,52:25.9
6,6.727685937,1.203152165,1.146363523,3.317661841,5.238042993,1.837870621,1.551313038,8.72E-05,0.047349648,minimize,8.72E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,52:39.7
7,6.724622267,1.246351644,1.205849215,4.153823575,4.925107536,2.038192393,1.364656222,8.58E-05,0.090598767,minimize,8.58E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,52:55.9
8,6.491916593,1.317601389,0.523161985,2.521012012,4.743377947,1.177917253,2.146789228,9.36E-05,0.000581092,minimize,9.36E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,53:10.3
9,6.965950074,1.363782169,0.786377181,3.126691032,4.699066239,1.208029083,2.275912601,8.50E-05,0.000913088,minimize,8.50E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,53:26.7
10,7.067720841,1.454891799,0.69623072,3.31588904,4.634670037,1.248843444,2.501596836,8.40E-05,0.000791696,minimize,8.40E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,53:41.2
11,7.446169727,1.529188111,0.428410535,3.638050128,2.722819059,1.254205476,2.082158738,9.81E-05,0.085450342,minimize,9.81E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,53:56.8
12,8.72006534,1.466166622,0.328450703,3.661833214,4.585258469,1.277893069,2.725514619,4.82E-05,1.454945037,minimize,4.82E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,54:10.5
13,8.646806029,1.482636804,0.170029848,3.888122892,4.401223253,1.686926926,2.650951869,5.22E-05,0.525383733,minimize,5.22E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,54:26.0
14,8.372888835,1.589443044,0.064421746,4.090403159,3.78621426,1.947246528,2.664962114,6.45E-05,0.014922206,minimize,6.45E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,54:41.5
15,8.186569898,1.688882572,0.037476772,4.420807934,3.362446592,2.147229496,2.661572448,7.42E-05,0.042733786,minimize,7.42E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,54:58.2
16,8.554790928,1.550068003,0.33186961,3.827902332,3.357734754,1.713301564,2.669393782,4.94E-05,0.240798456,minimize,4.94E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,55:13.5
17,8.543694752,1.619957068,0.399145673,3.759800919,3.402518132,2.177669341,2.477330777,5.06E-05,0.090014659,minimize,5.06E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,55:37.1
18,8.7013049,1.68533899,0.678086572,3.366225581,3.05196299,1.473044199,2.399358357,5.07E-05,0.140610582,minimize,5.07E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,55:53.7
19,8.922682277,1.743489767,1.046426505,3.263320762,2.947069836,1.146818625,2.320149375,9.46E-05,0.066954184,minimize,9.46E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,56:12.0
20,8.797871826,1.130490815,0.75721332,3.036495378,2.812907508,1.410315194,1.901457843,9.25E-05,0.001087216,minimize,9.25E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,56:28.0
21,8.663997237,1.713080302,0.577947623,3.460150012,3.147803681,1.63772667,1.7818705,5.02E-05,0.069679262,minimize,5.02E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,56:45.7
22,6.63905819,1.776870292,0.998258446,2.780156604,3.154936924,1.18349969,1.829024679,9.48E-05,0.112782756,minimize,9.48E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,57:02.4
23,6.652366641,1.378649284,1.403662512,2.718647945,3.055697784,1.443790895,1.73930157,8.92E-05,0.094526144,minimize,8.92E-05,minimize,FALSE,1,0,,1,0,,1,0,,FALSE,0,,57:17.7
